article,line_no,phrase,global_citations
"de Oliveira JD, 2021, DYNA, V88, P131",0,"the objective of this study was to evaluate both the landscapes visual and sound quality influence on propagating noise pollution in the botanical garden and the sao lourenco park in curitiba, brazil.",2
"de Oliveira JD, 2021, DYNA, V88, P131",1,"data were collected in three transects (a, b, and c), representing different vegetation densities.",2
"de Oliveira JD, 2021, DYNA, V88, P131",2,landscape visual quality was characterized through a direct method for valuing landscape elements.,2
"de Oliveira JD, 2021, DYNA, V88, P131",3,"the visual quality was classified as good, average, or bad.",2
"de Oliveira JD, 2021, DYNA, V88, P131",4,we used two instrutherm dec-470 decibel meters with 1.5-decibel precision for the sound analysis.,2
"de Oliveira JD, 2021, DYNA, V88, P131",5,"the landscapes evaluated at site c showed variation in the landscape visual quality from 1 to 21.57, with the best visual and noise attenuation qualities.",2
"de Oliveira JD, 2021, DYNA, V88, P131",6,correlation analysis between the landscape visual quality and the amount of blocked noise showed a strong correlation coefficient (0.65. p = 0.0001).,2
"de Oliveira JD, 2021, DYNA, V88, P131",7,"landscapes with better visual quality resulted in a greater amount of attenuated noise, mainly due to the presence of vegetation.",2
"de Oliveira JD, 2021, DYNA, V88, P131",8,the author.,2
"de Oliveira JD, 2021, DYNA, V88, P131",9,licensee universidad nacional de colombia.,2
"Leon RAG, 2021, DYNA, V88, P181",0,"this work presents the physical-mechanical properties of two types of h-10 blocks of six holes fabricated in two different companies in norte de santander, colombia to provide a general visualization of the ceramic properties of masonry products base clay.",0
"Leon RAG, 2021, DYNA, V88, P181",1,"random samples of h-10 blocks were collected from the selected companies directly from the furnace as part of the experimental procedure, which was used to perform the physical-mechanical tests such as initial and final water absorption, morphology, resistance to compression, and flexion according to the ntc 4017 standard procedure, the results obtained were compared with the values established in the ntc 4205 standard procedure, used as non-structural masonry products for indoor or outdoor use.",0
"Leon RAG, 2021, DYNA, V88, P181",2,"finally, the sem-eds micrographs exposed the main characteristic chemical elements (al, si, o), defects on the surface of an h-10 block and the presence of typical phases (quartz, kaolinite, illite, and hematite) obtained by the xrd technique.",0
"Leon RAG, 2021, DYNA, V88, P181",3,the author.,0
"Leon RAG, 2021, DYNA, V88, P181",4,licensee universidad nacional de colombia.,0
"Avila-Lara DD, 2021, DYNA, V88, P118",0,"the objective of this study was the design and simulation of a single effect evaporator for an agave syrup production line, using as the main raw material, the aguamiel obtained from agave salmiana produced in the ejido ""las mangas"" municipality of saltillo coahuila, mexico.",0
"Avila-Lara DD, 2021, DYNA, V88, P118",1,"the design of the single effect evaporator was carried out by evaluating the equipment design variables (such as the raw material feed to the evaporator and its outlet streams) by the response surface methodology (rsm), with which it was possible to determine saturation temperature inside the evaporator (f1) and the feed temperature (f2), which allow optimizing the consumption and supply of the flow required for saturated steam entering the evaporator (s, kg/h) and the heat required for the operation of the evaporator (q, kj/h) in yield to obtain agave syrup.",0
"Avila-Lara DD, 2021, DYNA, V88, P118",2,"2021, the author.",0
"Avila-Lara DD, 2021, DYNA, V88, P118",3,licensee universidad nacional de colombia.,0
